Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"RL","Utilisation des terres","278","Bonaire, Saint-Eustache et Saba","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","32.2","A","Chiffre officiel"
"RL","Utilisation des terres","80","Bosnie-Herzégovine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","5121","A","Chiffre officiel"
"RL","Utilisation des terres","20","Botswana","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","58173","A","Chiffre officiel"
"RL","Utilisation des terres","21","Brésil","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","851577","A","Chiffre officiel"
"RL","Utilisation des terres","26","Brunéi Darussalam","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","577","A","Chiffre officiel"
"RL","Utilisation des terres","27","Bulgarie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","11100","A","Chiffre officiel"
"RL","Utilisation des terres","233","Burkina Faso","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","27422","I","Valeur imputée"
"RL","Utilisation des terres","29","Burundi","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2783","A","Chiffre officiel"
"RL","Utilisation des terres","35","Cabo Verde","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","403","A","Chiffre officiel"
"RL","Utilisation des terres","115","Cambodge","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","18104","A","Chiffre officiel"
"RL","Utilisation des terres","32","Cameroun","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","47544","I","Valeur imputée"
"RL","Utilisation des terres","33","Canada","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","987975","A","Chiffre officiel"
"RL","Utilisation des terres","40","Chili","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","75609.6","A","Chiffre officiel"
"RL","Utilisation des terres","351","Chine","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","960000.13","E","Valeur estimée"
"RL","Utilisation des terres","96","Chine - RAS de Hong-Kong","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","110","A","Chiffre officiel"
"RL","Utilisation des terres","128","Chine - RAS de Macao","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3.03","A","Chiffre officiel"
"RL","Utilisation des terres","41","Chine, continentale","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","956291.1","A","Chiffre officiel"
"RL","Utilisation des terres","214","Chine, Taiwan Province de","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3596","I","Valeur imputée"
"RL","Utilisation des terres","50","Chypre","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","925","A","Chiffre officiel"
"RL","Utilisation des terres","44","Colombie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","114174.9","A","Chiffre officiel"
"RL","Utilisation des terres","45","Comores","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","186.1","A","Chiffre officiel"
"RL","Utilisation des terres","46","Congo","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","34200","A","Chiffre officiel"
"RL","Utilisation des terres","48","Costa Rica","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","5110","A","Chiffre officiel"
